Rank,TeamName,Score
1,190110125,0.76344
2,190110201,0.72316
3,190110806,0.71739
4,190110628,0.71186
5,190110325,0.70718
6,190110610,0.70297
7,190110704,0.69346
8,190110601,0.68103
9,190110722,0.67692
10,190111014,0.66666
11,190110731,0.66355
12,190110820,0.66292
13,190111009,0.65517
14,190110310,0.65217
15,190110716,0.64804
16,190110215,0.63783
17,190110127,0.63541
18,190110301,0.63492
19,190110206,0.63333
20,190111001,0.63265
21,190110904,0.62686
22,190111025,0.62564
23,190110701,0.62500
24,190110512,0.61935
25,190110914,0.61780
26,190110424,0.61375
27,190110509,0.61176
28,190110515,0.59340
29,190110231,0.45405
30,190110330,0.44444
30,190110902,0.44444
32,190110427,0.42622
33,190110214,0.40000
34,190110107,0.07692
34,190110319,0.07692
36,190110408,0.05769
